Run,Timestamp,Metric
1,2025-06-07T21:14:00,cpp_client_container TOTAL TIME = 4221867μs for 10000 messages
1,2025-06-07T21:14:00,cpp_client_container d534418c092a max_rss_kb = 7168
1,2025-06-07T21:14:00,cpp_client_container d534418c092a user_time_s = 0.25
1,2025-06-07T21:14:00,cpp_client_container d534418c092a sys_time_s = 1.65
1,2025-06-07T21:14:00,cpp_server_container c0b8d7b57d43 max_rss_kb = 4224
1,2025-06-07T21:14:00,cpp_server_container c0b8d7b57d43 user_time_s = 0.18
1,2025-06-07T21:14:00,cpp_server_container c0b8d7b57d43 sys_time_s = 1.64
2,2025-06-07T21:14:18,cpp_client_container TOTAL TIME = 3171626μs for 10000 messages
2,2025-06-07T21:14:18,cpp_client_container 49f37b712f1a max_rss_kb = 7040
2,2025-06-07T21:14:18,cpp_client_container 49f37b712f1a user_time_s = 0.18
2,2025-06-07T21:14:18,cpp_client_container 49f37b712f1a sys_time_s = 1.69
2,2025-06-07T21:14:18,cpp_server_container 6cd3fc87330e max_rss_kb = 4224
2,2025-06-07T21:14:18,cpp_server_container 6cd3fc87330e user_time_s = 0.17
2,2025-06-07T21:14:18,cpp_server_container 6cd3fc87330e sys_time_s = 1.63
3,2025-06-07T21:14:36,cpp_server_container f5c2ee8cfa21 max_rss_kb = 4224
3,2025-06-07T21:14:36,cpp_server_container f5c2ee8cfa21 user_time_s = 0.18
3,2025-06-07T21:14:36,cpp_server_container f5c2ee8cfa21 sys_time_s = 1.64
3,2025-06-07T21:14:36,cpp_client_container TOTAL TIME = 3193449μs for 10000 messages
3,2025-06-07T21:14:36,cpp_client_container e35d8c618cb4 max_rss_kb = 7040
3,2025-06-07T21:14:36,cpp_client_container e35d8c618cb4 user_time_s = 0.19
3,2025-06-07T21:14:36,cpp_client_container e35d8c618cb4 sys_time_s = 1.63
4,2025-06-07T21:14:54,cpp_server_container a4a40cea1d1e max_rss_kb = 4224
4,2025-06-07T21:14:54,cpp_server_container a4a40cea1d1e user_time_s = 0.17
4,2025-06-07T21:14:54,cpp_server_container a4a40cea1d1e sys_time_s = 1.66
4,2025-06-07T21:14:54,cpp_client_container TOTAL TIME = 5279632μs for 10000 messages
4,2025-06-07T21:14:54,cpp_client_container eacbf6b79f7d max_rss_kb = 7040
4,2025-06-07T21:14:54,cpp_client_container eacbf6b79f7d user_time_s = 0.20
4,2025-06-07T21:14:54,cpp_client_container eacbf6b79f7d sys_time_s = 1.64
5,2025-06-07T21:15:14,cpp_server_container dcfe62d54e78 max_rss_kb = 4352
5,2025-06-07T21:15:14,cpp_server_container dcfe62d54e78 user_time_s = 0.17
5,2025-06-07T21:15:14,cpp_server_container dcfe62d54e78 sys_time_s = 1.62
5,2025-06-07T21:15:14,cpp_client_container TOTAL TIME = 4168539μs for 10000 messages
5,2025-06-07T21:15:14,cpp_client_container c59cc1136070 max_rss_kb = 7168
5,2025-06-07T21:15:14,cpp_client_container c59cc1136070 user_time_s = 0.21
5,2025-06-07T21:15:14,cpp_client_container c59cc1136070 sys_time_s = 1.75
