Run,Timestamp,Metric
1,2025-06-07T21:28:11,wasm_rpc_host_container  | TOTAL TIME = 53352μs
1,2025-06-07T21:28:11,wasm_rpc_host_container  | bbc3603d3ca7 max_rss_kb = 41144
1,2025-06-07T21:28:11,wasm_rpc_host_container  | bbc3603d3ca7 user_time_s = 0.08
1,2025-06-07T21:28:11,wasm_rpc_host_container  | bbc3603d3ca7 sys_time_s = 0.04
2,2025-06-07T21:28:25,wasm_rpc_host_container  | TOTAL TIME = 49134μs
2,2025-06-07T21:28:25,wasm_rpc_host_container  | 64678cd1c032 max_rss_kb = 41120
2,2025-06-07T21:28:25,wasm_rpc_host_container  | 64678cd1c032 user_time_s = 0.07
2,2025-06-07T21:28:25,wasm_rpc_host_container  | 64678cd1c032 sys_time_s = 0.04
3,2025-06-07T21:28:38,wasm_rpc_host_container  | TOTAL TIME = 49901μs
3,2025-06-07T21:28:38,wasm_rpc_host_container  | 0bb0df8f7335 max_rss_kb = 40992
3,2025-06-07T21:28:38,wasm_rpc_host_container  | 0bb0df8f7335 user_time_s = 0.07
3,2025-06-07T21:28:38,wasm_rpc_host_container  | 0bb0df8f7335 sys_time_s = 0.04
4,2025-06-07T21:28:52,wasm_rpc_host_container  | TOTAL TIME = 49546μs
4,2025-06-07T21:28:52,wasm_rpc_host_container  | 6a3b44519e48 max_rss_kb = 41120
4,2025-06-07T21:28:52,wasm_rpc_host_container  | 6a3b44519e48 user_time_s = 0.08
4,2025-06-07T21:28:52,wasm_rpc_host_container  | 6a3b44519e48 sys_time_s = 0.03
5,2025-06-07T21:29:05,wasm_rpc_host_container  | TOTAL TIME = 51002μs
5,2025-06-07T21:29:05,wasm_rpc_host_container  | c00128b4ae0b max_rss_kb = 40992
5,2025-06-07T21:29:05,wasm_rpc_host_container  | c00128b4ae0b user_time_s = 0.07
5,2025-06-07T21:29:05,wasm_rpc_host_container  | c00128b4ae0b sys_time_s = 0.04
