Run,Timestamp,Metric
1,2025-06-07T21:36:43,client_container TOTAL TIME = 7408455μs
1,2025-06-07T21:36:43,client_container 6037f33cf394 max_rss_kb = 25664
1,2025-06-07T21:36:43,client_container 6037f33cf394 user_time_s = 0.32
1,2025-06-07T21:36:43,client_container 6037f33cf394 sys_time_s = 1.65
1,2025-06-07T21:36:43,server_container 44d9371a5f86 max_rss_kb = 22840
1,2025-06-07T21:36:43,server_container 44d9371a5f86 user_time_s = 0.24
1,2025-06-07T21:36:43,server_container 44d9371a5f86 sys_time_s = 1.66
2,2025-06-07T21:37:07,client_container TOTAL TIME = 3224580μs
2,2025-06-07T21:37:07,client_container dc45cb975159 max_rss_kb = 25536
2,2025-06-07T21:37:07,client_container dc45cb975159 user_time_s = 0.26
2,2025-06-07T21:37:07,client_container dc45cb975159 sys_time_s = 1.57
2,2025-06-07T21:37:07,server_container dfce1036d319 max_rss_kb = 22840
2,2025-06-07T21:37:07,server_container dfce1036d319 user_time_s = 0.22
2,2025-06-07T21:37:07,server_container dfce1036d319 sys_time_s = 1.58
3,2025-06-07T21:37:26,server_container d817348dd7b4 max_rss_kb = 22840
3,2025-06-07T21:37:26,server_container d817348dd7b4 user_time_s = 0.24
3,2025-06-07T21:37:26,server_container d817348dd7b4 sys_time_s = 1.58
3,2025-06-07T21:37:26,client_container TOTAL TIME = 4220564μs
3,2025-06-07T21:37:26,client_container 1dfc89b9e12e max_rss_kb = 25664
3,2025-06-07T21:37:26,client_container 1dfc89b9e12e user_time_s = 0.34
3,2025-06-07T21:37:26,client_container 1dfc89b9e12e sys_time_s = 1.64
4,2025-06-07T21:37:45,server_container 778b79bd776c max_rss_kb = 22836
4,2025-06-07T21:37:45,server_container 778b79bd776c user_time_s = 0.19
4,2025-06-07T21:37:45,server_container 778b79bd776c sys_time_s = 1.61
4,2025-06-07T21:37:45,client_container TOTAL TIME = 3194841μs
4,2025-06-07T21:37:45,client_container 6a4dee0c5a9d max_rss_kb = 25664
4,2025-06-07T21:37:45,client_container 6a4dee0c5a9d user_time_s = 0.27
4,2025-06-07T21:37:45,client_container 6a4dee0c5a9d sys_time_s = 1.62
5,2025-06-07T21:38:04,server_container 55d230e6c3a4 max_rss_kb = 22968
5,2025-06-07T21:38:04,server_container 55d230e6c3a4 user_time_s = 0.23
5,2025-06-07T21:38:04,server_container 55d230e6c3a4 sys_time_s = 1.56
5,2025-06-07T21:38:04,client_container TOTAL TIME = 4206978μs
5,2025-06-07T21:38:04,client_container b991f77edf70 max_rss_kb = 25536
5,2025-06-07T21:38:04,client_container b991f77edf70 user_time_s = 0.28
5,2025-06-07T21:38:04,client_container b991f77edf70 sys_time_s = 1.61
